Security Code,Issuer Name,Security Id,Security Name,Sector Name
515145,Hindusthan National Glass & Industr,HINDNATGLS,HINDUSTHAN NATIONAL GLASS & INDUSTRIES LTD.-$,Industrials
515147,Haldyn Glass Limited,HALDYNGL,Haldyn Glass Ltd-$,Industrials
516003,DUROPLY INDUSTRIES LIMITED,DUROPLY,Duroply Industries Ltd,Consumer Discretionary
516016,"Shreyans Industries Limited.,",SHREYANIND,SHREYANS INDUSTRIES LTD.-$,Commodities
516020,Agio Paper & Industries Limited,AGIOPAPER,AGIO PAPER & INDUSTRIES LTD.-$,Commodities
516022,Star Paper Mills Ltd.,STARPAPER,STAR PAPER MILLS LTD.,Commodities
516030,YASH PAKKA LIMITED,YASHPAKKA,Yash Pakka Ltd-$,Commodities
516062,National Plywood Industries Ltd.,NATPLY,NATIONAL PLYWOOD INDUSTRIES LTD.,Commodities
516064,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Industrials
516072,Vishnu Chemicals Limited,VISHNU,VISHNU CHEMICALS LTD.,Commodities
516078,Jumbo Bag ltd.,JUMBO,JUMBO BAG LTD.,Industrials
516082,N.R.Agarwal Industries Ltd.,NRAGRINDQ,N.R.AGARWAL INDUSTRIES LTD.,Commodities
516092,3P LAND HOLDINGS LTD.,3PLAND,3P Land Holdings Ltd,Financial Services
516096,Sangal Papers Ltd.,SANPA,SANGAL PAPERS LTD.,Commodities
516106,Shree Karthik Papers Ltd.,SHKARTP,SHREE KARTHIK PAPERS LTD.,Commodities
516108,South India Paper Mills Ltd.,STHINPA,SOUTH INDIA PAPER MILLS LTD.,Commodities
516110,FAMILY CARE HOSPITALS LIMITED,FAMILYCARE,Family Care Hospitals Ltd,Healthcare
517015,"Vindhya Telelinks Ltd.,",VINDHYATEL,VINDHYA TELELINKS LTD.,Telecommunication
517035,RIR POWER ELECTRONICS LIMITED,RIR,RIR Power Electronics Ltd,Industrials
517041,Ador Welding Ltd.,ADORWELD,ADOR WELDING LTD.,Industrials
517044,International Data Managements Ltd.,IDM,INTERNATIONAL DATA MANAGEMENT LTD.,Services
517059,"Salzer Electronics Ltd.,",SALZER,SALZER ELECTRONICS LTD.-$,Industrials
517063,Jetking Infotrain Ltd.,JETKINGQ,JETKING INFOTRAIN LTD.,Consumer Discretionary
517077,Ind-Agiv Commerce Ltd.,INDAGIV,IND-AGIV COMMERCE LTD.,Services
517119,PCS Technology Ltd.,PCS,PCS TECHNOLOGY LTD.,Information Technology
517146,Usha Martin Ltd.,USHAMART,USHA MARTIN LTD.,Industrials
517166,SPEL Semiconductor Ltd.,SPELS,SPEL SEMICONDUCTOR LTD.,Industrials
517168,"Subros Ltd.,",SUBROS,SUBROS LTD.,Consumer Discretionary
517170,Edvenswa Enterprises Limited,EDVENSWA,Edvenswa Enterprises Ltd,Industrials
517172,Pervasive Commodities Limited,PERVASIVE,Pervasive Commodities Ltd,Services
517174,Honeywell Automation India Ltd.,HONAUT,HONEYWELL AUTOMATION INDIA LTD.,Industrials
517201,Switching Technologies Gunther Ltd.,SWITCHTE,SWITCHING TECHNOLOGIES GUNTHER LTD.,Industrials
517206,"Lumax Industries Ltd.,",LUMAXIND,LUMAX INDUSTRIES LTD.,Consumer Discretionary
517214,DIGISPICE TECHNOLOGIES LIMITED,DIGISPICE,Digispice Technologies Ltd-$,Information Technology
517236,"Calcom Vision Ltd.,",CALCOM,CALCOM VISION LTD.,Consumer Discretionary
517238,Dynavision Limited,DYNAVSN,DYNAVISION LTD.,Services
517246,"BCC Fuba India Ltd.,",BCCFUBA,BCC FUBA INDIA LTD.,Information Technology
517258,"Precision Electronics Ltd.,",PRECISIO,PRECISION ELECTRONICS LTD.,Industrials
517264,Fine-line Circuits Ltd.,FINELINE,FINE-LINE CIRCUITS LTD.,Information Technology
